company_id,fiscal_year,province,region,ateco_sector,legal_form,years_in_business,total_fixed_assets,current_assets,total_assets,shareholders_equity,total_debt,short_term_debt,long_term_debt,production_value,production_costs,operating_income,financial_income,financial_expenses,net_profit_loss,roe,roi,leverage,current_ratio,quick_ratio,debt_to_assets,profit_margin,bankruptcy_next_year,financial_health_class,revenue_change
COMP_00000,2018,NA,Campania,47,SRL,32,242234260.61,950481877.28,1192716137.89,372870210.96,819845926.93,560184200.25,259661726.68,1846635930.22,1611362993.65,235272936.57,4886785.12,20068071.29,215204865.29,0.5772,0.1973,2.1987,1.6967,1.018,0.6874,0.1165,0,B,
COMP_00000,2019,NA,Campania,47,SRL,33,39836387.09,141122561.11,180958948.2,57007011.29,123951936.92,71353454.66,52598482.25,428915932.68,389603754.96,39312177.72,58246.06,2537224.2,36774953.52,0.6451,0.2172,2.1743,1.9778,1.1867,0.685,0.0857,0,B,-76.77
COMP_00000,2020,NA,Campania,47,SRL,34,666225046.97,1367208082.46,2033433129.43,302904566.8,1730528562.63,990400389.04,740128173.59,6956196773.22,6988488857.14,-32292083.92,5327332.51,55844558.38,-88136642.29,-0.291,-0.0159,5.7131,1.3805,0.8283,0.851,-0.0127,0,D,1521.81
COMP_00000,2021,NA,Campania,47,SRL,35,46371874.16,252422792.52,298794666.68,39010978.84,259783687.84,152767378.78,107016309.07,503183859.82,504723505.06,-1539645.24,116335.8,7828741.61,-9368386.85,-0.2401,-0.0052,6.6592,1.6523,0.9914,0.8694,-0.0186,0,D,-92.77
COMP_00001,2018,CA,Sardegna,62,SRL,8,83480345.73,132569683.58,216050029.3,65669366.65,150380662.66,75824818.7,74555843.95,411338021.12,391241355.54,20096665.58,640538.94,5860639.22,14236026.36,0.2168,0.093,2.29,1.7484,1.049,0.696,0.0346,0,B,
COMP_00001,2019,CA,Sardegna,62,SRL,9,307352921.95,619819866.77,927172788.71,197113505.18,730059283.53,333019157.76,397040125.77,1595546728.74,1531041063.81,64505664.94,866498.44,19304798.48,45200866.45,0.2293,0.0696,3.7038,1.8612,1.1167,0.7874,0.0283,0,C,287.89
COMP_00001,2020,CA,Sardegna,62,SRL,10,40597015.56,118625713.36,159222728.92,65658069.83,93564659.08,64277065.43,29287593.65,182753873.5,166829732.37,15924141.13,552986.6,4590941.95,11333199.19,0.1726,0.1,1.425,1.8455,1.1073,0.5876,0.062,0,B,-88.55
COMP_00001,2021,CA,Sardegna,62,SRL,11,550990257.91,859362467.08,1410352724.99,764951008.15,645401716.84,391539370.25,253862346.59,2613448267.25,2351258868.62,262189398.62,2047909.18,27141384.8,235048013.82,0.3073,0.1859,0.8437,2.1948,1.3169,0.4576,0.0899,0,A,1330.04
COMP_00002,2018,BA,Puglia,41,SAS,35,39061548.36,25811253.44,64872801.79,30410465.65,34462336.14,20924351.62,13537984.52,49273927.32,44072960.35,5200966.97,9342.13,978717.47,4222249.5,0.1388,0.0802,1.1332,1.2336,0.7401,0.5312,0.0857,0,B,
COMP_00002,2019,BA,Puglia,41,SAS,36,497230504.8,440828876.21,938059381.01,365985968.76,572073412.25,349792714.5,222280697.75,968434994.02,906052747.63,62382246.38,3221395.42,12480678.32,49901568.06,0.1363,0.0665,1.5631,1.2603,0.7562,0.6098,0.0515,0,B,1865.41
COMP_00002,2020,BA,Puglia,41,SAS,37,515454793.53,403020021.0,918474814.54,358915603.02,559559211.51,309658592.15,249900619.37,1369342505.6,1235536838.95,133805666.65,646346.17,16041854.51,117763812.14,0.3281,0.1457,1.559,1.3015,0.7809,0.6092,0.086,0,B,41.4
COMP_00002,2021,BA,Puglia,41,SAS,38,54642800.13,37687727.03,92330527.16,47260486.98,45070040.19,23564820.19,21505219.99,77310956.37,67888360.15,9422596.23,406523.21,2027010.83,7395585.4,0.1565,0.1021,0.9537,1.5993,0.9596,0.4881,0.0957,0,A,-94.35
COMP_00003,2019,BO,Emilia-Romagna,47,SRL,0,102692981.84,213249024.69,315942006.53,111890878.01,204051128.52,116017234.02,88033894.5,816221046.65,752422602.43,63798444.22,467838.18,10016290.71,53782153.51,0.4807,0.2019,1.8237,1.8381,1.1028,0.6458,0.0659,0,B,
COMP_00003,2020,BO,Emilia-Romagna,47,SRL,1,49433635.21,161809901.13,211243536.34,56685904.74,154557631.6,84511996.96,70045634.64,746399107.22,720686381.15,25712726.08,162268.33,3413831.17,22298894.91,0.3934,0.1217,2.7266,1.9146,1.1488,0.7317,0.0299,0,C,-8.55
COMP_00003,2021,BO,Emilia-Romagna,47,SRL,2,193332852.0,600168468.24,793501320.24,409841642.09,383659678.15,241709183.36,141950494.79,2800945101.26,2502065160.07,298879941.19,1817176.05,15070733.26,283809207.93,0.6925,0.3767,0.9361,2.483,1.4898,0.4835,0.1013,0,A,275.26
